"Отметка времени","Самое значимое для вас событие года?","Посещали ли вы крупные IT-конференции в 2017 году?","Лучшее профильное мероприятие года в Украине (800+ посетителей)?","Лучшее профильное мероприятие года в Украине (400+ посетителей)?","Как вы оцениваете этот год лично для себя?","Какие у вас ожидания от 2018?","Кто вы?"
"2017/12/11 1:22:18 PM GMT+2","Начал действовать безвизовый режим","Да","Lviv IT Arena 2017","Lviv Outsourcing Forum","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 1:22:40 PM GMT+2","Начал действовать безвизовый режим","Да","Lviv IT Arena 2017","LvivJS 2017","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:22:42 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 1:22:49 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Мега-синьор (10+ лет опыта)"
"2017/12/11 1:22:53 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:23:08 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:23:26 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Да","IT Weekend Ukraine","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:23:27 PM GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Нормальный год, все как обычно","Не жду чуда. Главное, чтобы не хуже 2017","Мега-синьор (10+ лет опыта)"
"2017/12/11 1:23:45 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/11 1:23:46 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:24:07 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:24:33 PM GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Трудный год, но в целом все хорошо","Все будет плохо, но вы держитесь","Миддл (2-5 лет опыта)"
"2017/12/11 1:24:34 PM GMT+2","Bitcoin по $18K","Нет","","","Нормальный год, все как обычно","Все будет плохо, но вы держитесь","Миддл (2-5 лет опыта)"
"2017/12/11 1:24:45 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Нормальный год, все как обычно","Все будет плохо, но вы держитесь","Миддл (2-5 лет опыта)"
"2017/12/11 1:24:50 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/11 1:24:57 PM GMT+2","Начал действовать безвизовый режим","Да","QA Fest 2017","Selenium Camp","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:25:01 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:25:10 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Один из лучших в моей жизни","Не жду чуда. Главное, чтобы не хуже 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:25:21 PM GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","IT Weekend Ukraine",".NET Fest","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:26:02 PM GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:26:03 PM GMT+2","Bitcoin по $18K","Нет","","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Мега-синьор (10+ лет опыта)"
"2017/12/11 1:26:10 PM GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/11 1:26:14 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
