"Отметка времени","Самое значимое для вас событие года?","Посещали ли вы IT-конференции в 2016 году?","Лучшее профильное мероприятие года в Украине (800+ посетителей)?","Лучшее профильное мероприятие года в Украине (400+ посетителей)?","Как вы оцениваете этот год лично для себя?","Какие у вас ожидания от 2017?","Кто вы?"
"2016/12/08 10:26:40 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",""
"2016/12/08 10:26:41 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Нет","","","Неудачный год, все плохо","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/08 10:26:42 ДП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Один из лучших в моей жизни","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/08 10:27:18 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","JEEConf","PyCon Ukraine 2016","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",""
"2016/12/08 10:27:45 ДП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Синьор (5-10 лет опыта)"
"2016/12/08 10:28:06 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/08 10:28:10 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","IT Weekend Ukraine","IoT Conf UA","Один из лучших в моей жизни","Все будет хорошо",""
"2016/12/08 10:28:31 ДП GMT+2","Появление ""Неприличное.ит""","Нет","","","Трудный год, но в целом все хорошо","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/08 10:28:42 ДП GMT+2","Продолжение обысков в IT-компаниях","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Синьор (5-10 лет опыта)"
"2016/12/08 10:28:50 ДП GMT+2","Появление ""Неприличное.ит""","Да","JavaDay Kyiv 2016","","Нормальный год, все как обычно","Все плохо, пора валить","Миддл (2-5 лет опыта)"
"2016/12/08 10:29:01 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Нет","","","Трудный год, но в целом все хорошо","Все плохо, пора валить","Синьор (5-10 лет опыта)"
"2016/12/08 10:29:06 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","QA Fest 2016","","Трудный год, но в целом все хорошо","Все будет хорошо","Мега-синьор (10+ лет опыта)"
"2016/12/08 10:29:29 ДП GMT+2","Появление ""Неприличное.ит""","Нет","","","Трудный год, но в целом все хорошо","Все будет хорошо","Синьор (5-10 лет опыта)"
"2016/12/08 10:29:39 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","","","Трудный год, но в целом все хорошо","Все будет хорошо","Синьор (5-10 лет опыта)"
"2016/12/08 10:29:42 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Да","IT Weekend Ukraine","KharkivJS#7","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/08 10:29:47 ДП GMT+2","Появление ""Неприличное.ит""","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/08 10:30:00 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","Software Engineering 2016","","Нормальный год, все как обычно","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/08 10:30:02 ДП GMT+2","Появление ""Неприличное.ит""","Да","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Синьор (5-10 лет опыта)"
"2016/12/08 10:30:15 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения","Синьор (5-10 лет опыта)"
"2016/12/08 10:30:31 ДП GMT+2","Отмена седьмой волны мобилизации","Да","IT Weekend Ukraine","JavaScript Frameworks Day","Один из лучших в моей жизни","Все будет хорошо","Миддл (2-5 лет опыта)"
