Должность,Язык программирования,Специализация,Общий опыт работы,Опыт работы на текущем месте,Зарплата в месяц,Изменение зарплаты за 12 месяцев,Город,Размер компании,Тип компании,Пол,Возраст,Образование,Университет,Еще студент,Уровень английского,Предметная область,Дата заполнения,User-Agent
Senior QA engineer,,Automation QA,6,5,2400,200,Киев,до 200 человек,Продуктовая,m,32,Высшее,Другой вуз,False,средний,"Desktop Applications,Веб-разработка",12/06/2017 13:11:52,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Software Engineer,JavaScript,,2,1.5,500,100,Киев,до 10 человек,Стартап,m,25,Высшее,КНУТД,False,средний,Веб-разработка,12/06/2017 13:11:55,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.2552.888"
Senior Software Engineer,JavaScript,,6,1,3800,300,Удаленно,до 10 человек,Стартап,m,25,Незаконченное высшее,НТУУ «КПИ»,False,выше среднего,Веб-разработка,12/06/2017 13:12:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Junior QA engineer,,Manual QA,0.5,0.5,350,0,Киев,до 10 человек,Продуктовая,m,28,Высшее,НТУУ «КПИ»,False,выше среднего,Веб-разработка,12/06/2017 13:12:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
QA engineer,,General QA,4,3,1800,200,Харьков,до 200 человек,Аутсорсинговая,f,27,Высшее,Другой вуз,False,выше среднего,Desktop Applications,12/06/2017 13:12:01,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4"
Junior Software Engineer,JavaScript,,0.5,0.5,300,100,Львов,до 10 человек,Аутсорсинговая,m,17,Среднее,,False,средний,Веб-разработка,12/06/2017 13:12:05,"Mozilla/5.0 (Linux; Android 7.0; SM-G925F Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/58.0.3029.83 Mobile Safari/537.36"
Senior Software Engineer,Java,,8,1,3000,500,Одесса,до 10 человек,Продуктовая,m,30,Высшее,Другой вуз,False,средний,Другое,12/06/2017 13:12:06,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Junior Software Engineer,C,,2,1,400,0,Харьков,до 10 человек,Аутсорсинговая,m,26,Высшее,ХНУРЭ,False,средний,Embedded,12/06/2017 13:12:16,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Senior Software Engineer,JavaScript,,6,0.5,4500,1200,Киев,до 50 человек,Продуктовая,m,27,Высшее,КНУ им. Шевченко,False,выше среднего,Веб-разработка,12/06/2017 13:12:20,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Mobile/14F89 [FBAN/FBIOS;FBAV/95.0.0.54.70;FBBV/59901094;FBDV/iPhone8,1;FBMD/iPhone;FBSN/iOS;FBSV/10.3.2;FBSS/2;FBCR/Carrier;FBID/phone;FBLC/ru_RU;FBOP/5;FBRV/0]"
Project manager,,,0.5,0.5,500,500,Харьков,до 10 человек,Аутсорсинговая,f,24,Высшее,НТУ «ХПИ»,False,выше среднего,"Веб-разработка,eCommerce",12/06/2017 13:12:21,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Junior Software Engineer,Python,,0.5,0.5,600,0,Киев,до 10 человек,Аутсорсинговая,m,19,Незаконченное высшее,НТУУ «КПИ»,True,выше среднего,"Веб-разработка,eCommerce",12/06/2017 13:12:25,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36"
Software Engineer,Swift,,2,1,1600,200,Львов,до 200 человек,Аутсорсинговая,m,22,Высшее,Львовская Политехника,True,средний,iOS,12/06/2017 13:12:26,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Designer,,,2,1.5,850,300,Харьков,до 50 человек,Аутсорсинговая,m,21,Высшее,ХНУ им. Каразина,True,средний,"Android,iOS",12/06/2017 13:12:26,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0.1 Safari/602.2.14"
Senior Software Engineer,Ruby/Rails,,4,4,2800,400,Днепр,до 50 человек,Аутсорсинговая,m,35,Высшее,Другой вуз,False,средний,"Веб-разработка,Финансы и банки",12/06/2017 13:12:35,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Junior Software Engineer,C#/.NET,,1,1,1000,400,Киев,свыше 1000 человек,Аутсорсинговая,m,33,Высшее,ЗНТУ,False,продвинутый,Веб-разработка,12/06/2017 13:12:37,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Software Engineer,PHP,,3,2,1500,600,Днепр,до 200 человек,Аутсорсинговая,f,29,Высшее,Другой вуз,False,выше среднего,eCommerce,12/06/2017 13:12:40,"Mozilla/5.0 (Linux; Android 7.0; Nexus 6 Build/NBD92G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.132 Mobile Safari/537.36"
Senior Software Engineer,Ruby/Rails,,10 и более лет,0.5,4200,1800,Киев,до 1000 человек,Аутстаффинговая,m,32,Высшее,Другой вуз,False,средний,"Веб-разработка,Корпоративные системы",12/06/2017 13:12:41,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Software Engineer,JavaScript,,4,0.5,1700,300,Харьков,до 1000 человек,Аутсорсинговая,m,27,Техникум / Колледж,,False,средний,Веб-разработка,12/06/2017 13:12:42,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4"
Junior Software Engineer,JavaScript,,0.5,0.5,640,0,Киев,до 50 человек,Аутсорсинговая,m,29,Высшее,НТУ «ХПИ»,False,выше среднего,"Веб-разработка,Корпоративные системы",12/06/2017 13:12:53,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
Project manager,,,2,1,1000,250,Киев,до 10 человек,Продуктовая,m,23,Высшее,НАУ,False,средний,Веб-разработка,12/06/2017 13:12:54,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.2552.888"
Software Engineer,Java,,2,1,1200,400,Киев,до 1000 человек,Аутсорсинговая,m,21,Высшее,НАУ,True,средний,Embedded,12/06/2017 13:12:55,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
Software Engineer,JavaScript,,4,0.5,2600,1800,Киев,свыше 1000 человек,Аутстаффинговая,m,25,Высшее,НУПТ,False,средний,Веб-разработка,12/06/2017 13:12:55,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3125.0 Safari/537.36"
Data Scientist / Data Analyst,,,10 и более лет,7,3900,0,Харьков,до 200 человек,Аутсорсинговая,m,32,Высшее,ХНУРЭ,False,выше среднего,Веб-разработка,12/06/2017 13:13:17,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36"
Junior Software Engineer,C#/.NET,,1.5,1,1000,400,Харьков,до 200 человек,Аутсорсинговая,f,21,Незаконченное высшее,НТУ «ХПИ»,True,выше среднего,"Desktop Applications,Веб-разработка",12/06/2017 13:13:19,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Software Engineer,Java,,2,2,1650,450,Киев,до 50 человек,Аутсорсинговая,m,27,Высшее,НТУУ «КПИ»,False,выше среднего,Android,12/06/2017 13:13:24,"Mozilla/5.0 (Linux; Android 7.1.1; Nexus 6 Build/NOF26W) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36"
Junior QA engineer,,General QA,1.5,1,800,400,Харьков,до 50 человек,Продуктовая,m,31,Высшее,ХНУРЭ,False,средний,eCommerce,12/06/2017 13:13:25,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.98 Safari/537.36"
Senior QA engineer,,General QA,4,2,1800,200,Киев,до 200 человек,Аутсорсинговая,m,33,Высшее,Другой вуз,False,выше среднего,eCommerce,12/06/2017 13:13:26,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
QA engineer,,Manual QA,2,2,900,250,Киев,до 200 человек,Аутсорсинговая,m,25,Высшее,НТУУ «КПИ»,False,выше среднего,"Android,Веб-разработка",12/06/2017 13:13:28,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
QA Tech Lead,,Manual QA,0.5,0.5,450,140,Львов,до 1000 человек,Продуктовая,m,34,Среднее,,False,средний,iOS,12/06/2017 13:13:30,"Mozilla/5.0 (Linux; Android 6.0; MEIZU_M5 Build/MRA58K; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/44.0.2403.128 Mobile Safari/537.36"
Junior QA engineer,,General QA,1,1,800,300,Киев,до 1000 человек,Аутсорсинговая,m,20,Незаконченное высшее,НТУУ «КПИ»,True,выше среднего,Веб-разработка,12/06/2017 13:13:47,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Senior Software Engineer,Objective-C,,9,меньше 3 месяцев,3700,200,Харьков,до 200 человек,Аутстаффинговая,m,32,Высшее,Другой вуз,False,выше среднего,iOS,12/06/2017 13:13:53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4"
DevOps,,,9,меньше 3 месяцев,3500,500,Киев,свыше 1000 человек,Аутсорсинговая,m,29,Высшее,Другой вуз,False,средний,"Desktop Applications,Финансы и банки",12/06/2017 13:13:55,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Security Specialist,,,7,7,600,40,Киев,до 1000 человек,Продуктовая,m,35,Высшее,Львовская Политехника,False,выше среднего,"Телекоммуникации,Корпоративные системы",12/06/2017 13:13:58,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Software Engineer,Java,,2,2,1150,400,Харьков,свыше 1000 человек,Аутсорсинговая,m,29,Высшее,ХНУРЭ,False,продвинутый,Корпоративные системы,12/06/2017 13:14:30,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36"
Technical Lead,C,,10 и более лет,10 и более лет,4150,150,Днепр,до 200 человек,Аутстаффинговая,m,33,Высшее,ДНУ им. Гончара,False,выше среднего,Веб-разработка,12/06/2017 13:14:33,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36"
QA engineer,,Manual QA,1,1,650,300,Львов,свыше 1000 человек,Аутсорсинговая,m,23,Высшее,ХАИ,False,средний,Финансы и банки,12/06/2017 13:14:41,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36 Edge/15.15063"
Senior Software Engineer,JavaScript,,5,меньше 3 месяцев,3500,500,Львов,до 10 человек,Аутсорсинговая,m,28,Высшее,Львовская Политехника,False,выше среднего,"Веб-разработка,Корпоративные системы",12/06/2017 13:14:47,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML, like Gecko) Mobile/14F89 Twitter for iPhone"
Junior Software Engineer,Python,,1.5,0.5,685,250,Киев,до 1000 человек,Аутсорсинговая,m,21,Незаконченное высшее,НТУУ «КПИ»,False,средний,Другое,12/06/2017 13:14:52,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
Junior QA engineer,,Automation QA,1.5,меньше 3 месяцев,700,350,Винница,до 1000 человек,Аутсорсинговая,m,33,Высшее,ВНТУ,False,средний,"Android,iOS",12/06/2017 13:14:53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Senior Software Engineer,Java,,5,0.25,3200,200,Харьков,до 50 человек,Аутсорсинговая,m,25,Незаконченное высшее,НТУ «ХПИ»,False,выше среднего,Android,12/06/2017 13:15:04,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Project manager,,,1.5,5,480,80,Одесса,до 200 человек,Продуктовая,m,29,Высшее,ОНУ им. Мечникова,False,ниже среднего,Другое,12/06/2017 13:15:13,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1"
Software Engineer,Java,,3,0.5,2250,0,Одесса,до 1000 человек,Продуктовая,m,29,Высшее,ОНУ им. Мечникова,False,выше среднего,"Веб-разработка,Телекоммуникации",12/06/2017 13:15:25,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Senior QA engineer,,General QA,7,5,1800,0,Другой,до 200 человек,Аутсорсинговая,m,32,Высшее,Другой вуз,False,выше среднего,"Веб-разработка,Финансы и банки",12/06/2017 13:15:40,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Junior Software Engineer,Java,,0.25,меньше 3 месяцев,500,0,Винница,до 50 человек,Аутсорсинговая,m,22,Незаконченное высшее,Другой вуз,False,продвинутый,Веб-разработка,12/06/2017 13:15:42,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
HR,,,8,2,450,0,Киев,до 10 человек,Аутсорсинговая,f,34,Высшее,Другой вуз,False,средний,Веб-разработка,12/06/2017 13:15:49,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
QA engineer,,Manual QA,9,9,550,95,Одесса,до 10 человек,Другая,m,30,Высшее,ОНУ им. Мечникова,False,выше среднего,Корпоративные системы,12/06/2017 13:16:05,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0
Software Engineer,JavaScript,,3,1.5,2350,550,Киев,свыше 1000 человек,Аутсорсинговая,m,25,Высшее,КНУ им. Шевченко,False,выше среднего,"Веб-разработка,Финансы и банки",12/06/2017 13:16:13,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
QA engineer,,Automation QA,3,1.5,1700,300,Киев,до 200 человек,Продуктовая,m,27,Незаконченное высшее,КНУ им. Шевченко,False,продвинутый,"Веб-разработка,Корпоративные системы",12/06/2017 13:16:21,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
QA engineer,,Automation QA,1.5,1.5,750,250,Киев,до 50 человек,Аутсорсинговая,m,26,Высшее,Другой вуз,False,ниже среднего,"Desktop Applications,Веб-разработка",12/06/2017 13:16:39,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
QA engineer,,Automation QA,5,3,2100,100,Львов,до 200 человек,Аутсорсинговая,f,31,Высшее,Другой вуз,False,продвинутый,Корпоративные системы,12/06/2017 13:16:43,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
