Город,Общий стаж работы по специальности,Стаж на текущем месте работы,Специализация,Зарплата за последний месяц,Прибавка к зарплате,Размер компании,Стаж,Стаж на текущем месте работы,ЗП,,,,,
Киев,7,3,Project manager,3000,3000,10 - 50 человек,> 7,"(1.5, 3]",> 2550,,,,,
Киев,7,3,C#/.NET,3000,800,больше 200 человек,> 7,"(1.5, 3]",> 2550,,,,,
другой,8,3,Ruby/Rails,3000,1000,меньше 10 человек,> 7,"(1.5, 3]",> 2550,,,,,
Харьков,16,3,Project manager,3000,1000,50 - 200 человек,> 7,"(1.5, 3]",> 2550,,,,,
Львов,8,3.5,Project manager,3000,500,больше 200 человек,> 7,> 3,> 2550,,,,,
Киев,6,4,Project manager,3000,1000,50 - 200 человек,"(3, 7]",> 3,> 2550,,,,,
Киев,6,4,C#/.NET,3000,1500,50 - 200 человек,"(3, 7]",> 3,> 2550,,,,,
Львов,8,4,Project manager,3000,500,больше 200 человек,> 7,> 3,> 2550,,,,,
Харьков,7,5,Project manager,3000,3000,50 - 200 человек,> 7,> 3,> 2550,,,,,
Киев,9,5,Java,3000,500,10 - 50 человек,> 7,> 3,> 2550,,,,,
Харьков,8,6,Project manager,3000,1000,50 - 200 человек,> 7,> 3,> 2550,,,,,
Киев,10,7,Flex/Flash/AIR,3000,2000,10 - 50 человек,> 7,> 3,> 2550,,,,,
Львов,15,7,Project manager,3000,10000,больше 200 человек,> 7,> 3,> 2550,,,,,
Львов,7,1,PHP,3100,400,больше 200 человек,> 7,"(0.5, 1.5]",> 2550,,,,,
Киев,2,2,Java,3100,500,больше 200 человек,"(1, 3]","(1.5, 3]",> 2550,,,,,
Киев,10,2,Java,3100,500,больше 200 человек,> 7,"(1.5, 3]",> 2550,,,,,
Киев,6,3,C#/.NET,3100,500,10 - 50 человек,"(3, 7]","(1.5, 3]",> 2550,,,,,
Киев,6,1.25,Flex/Flash/AIR,3200,500,10 - 50 человек,"(3, 7]","(0.5, 1.5]",> 2550,,,,,
Киев,10,3,C#/.NET,3200,400,меньше 10 человек,> 7,"(1.5, 3]",> 2550,,,,,
Киев,10,3.5,Project manager,3200,300,больше 200 человек,> 7,> 3,> 2550,,,,,
Киев,7,4,Java,3200,1000,больше 200 человек,> 7,> 3,> 2550,,,,,
Киев,5.5,0.1,Java,3250,1500,больше 200 человек,"(3, 7]",≤ 0.5,> 2550,,,,,
Киев,10,0.2,C#/.NET,3300,,меньше 10 человек,> 7,≤ 0.5,> 2550,,,,,
Киев,11,0.4,Mobile,3300,700,50 - 200 человек,> 7,≤ 0.5,> 2550,,,,,
Киев,8,1,C#/.NET,3300,500,10 - 50 человек,> 7,"(0.5, 1.5]",> 2550,,,,,
Киев,10,1,Project manager,3300,200,50 - 200 человек,> 7,"(0.5, 1.5]",> 2550,,,,,
Харьков,3,3,Project manager,3300,1200,10 - 50 человек,"(1, 3]","(1.5, 3]",> 2550,,,,,
Киев,6,4,PHP,3300,,меньше 10 человек,"(3, 7]",> 3,> 2550,,,,,
Киев,10,5,QA/Testing,3300,1000,50 - 200 человек,> 7,> 3,> 2550,,,,,
Киев,11,5,Project manager,3300,700,10 - 50 человек,> 7,> 3,> 2550,,,,,
Киев,12.5,5.5,Project manager,3300,500,больше 200 человек,> 7,> 3,> 2550,,,,,
Киев,13,8,C++,3300,1000,50 - 200 человек,> 7,> 3,> 2550,,,,,
Киев,15,11,Java,3300,330,10 - 50 человек,> 7,> 3,> 2550,,,,,
Киев,7,0.1,Java,3400,,больше 200 человек,> 7,≤ 0.5,> 2550,,,,,
Киев,8,0.5,C#/.NET,3400,600,10 - 50 человек,> 7,≤ 0.5,> 2550,,,,,
Киев,17,2,Java,3400,500,больше 200 человек,> 7,"(1.5, 3]",> 2550,,,,,
Киев,11,7,C#/.NET,3400,1600,50 - 200 человек,> 7,> 3,> 2550,,,,,
Киев,7,0.2,Java,3500,700,больше 200 человек,> 7,≤ 0.5,> 2550,,,,,
Харьков,10,0.4,Java,3500,1500,50 - 200 человек,> 7,≤ 0.5,> 2550,,,,,
Киев,9,0.5,Java,3500,400,больше 200 человек,> 7,≤ 0.5,> 2550,,,,,
Киев,7,0.6,HTML/CSS/JavaScript,3500,1500,10 - 50 человек,> 7,"(0.5, 1.5]",> 2550,,,,,
Львов,7,1,Project manager,3500,1500,10 - 50 человек,> 7,"(0.5, 1.5]",> 2550,,,,,
Харьков,8,1.5,C#/.NET,3500,0,10 - 50 человек,> 7,"(0.5, 1.5]",> 2550,,,,,
Львов,14,2,Embedded,3500,1000,10 - 50 человек,> 7,"(1.5, 3]",> 2550,,,,,
Харьков,6,3,Project manager,3500,1500,больше 200 человек,"(3, 7]","(1.5, 3]",> 2550,,,,,
Киев,11,3,Java,3500,1000,больше 200 человек,> 7,"(1.5, 3]",> 2550,,,,,
Киев,7,5,Project manager,3500,1750,10 - 50 человек,> 7,> 3,> 2550,,,,,
Харьков,9,5,Java,3500,1000,меньше 10 человек,> 7,> 3,> 2550,,,,,
Киев,9,5,C++,3500,1500,больше 200 человек,> 7,> 3,> 2550,,,,,
Киев,11,1,Java,3600,3000,10 - 50 человек,> 7,"(0.5, 1.5]",> 2550,,,,,
другой,5,3,Flex/Flash/AIR,3600,1000,10 - 50 человек,"(3, 7]","(1.5, 3]",> 2550,,,,,
Киев,11,3,C#/.NET,3600,500,50 - 200 человек,> 7,"(1.5, 3]",> 2550,,,,,
Киев,6,0.25,Mobile,3700,1000,больше 200 человек,"(3, 7]",≤ 0.5,> 2550,,,,,
Киев,15,4,Project manager,3700,500,меньше 10 человек,> 7,> 3,> 2550,,,,,
Киев,11,1,Java,3800,,10 - 50 человек,> 7,"(0.5, 1.5]",> 2550,,,,,
Киев,10,4,C#/.NET,3800,800,10 - 50 человек,> 7,> 3,> 2550,,,,,
Львов,10,5,C++,3900,1000,больше 200 человек,> 7,> 3,> 2550,,,,,
Киев,10,0.2,Java,4000,0,10 - 50 человек,> 7,≤ 0.5,> 2550,,,,,
Киев,10,1,Java,4000,2000,10 - 50 человек,> 7,"(0.5, 1.5]",> 2550,,,,,
Киев,15,1.2,Embedded,4000,2000,больше 200 человек,> 7,"(0.5, 1.5]",> 2550,,,,,
Киев,5,2,Python,4000,10000,10 - 50 человек,"(3, 7]","(1.5, 3]",> 2550,,,,,
Киев,12,2,PHP,4000,1000,10 - 50 человек,> 7,"(1.5, 3]",> 2550,,,,,
Киев,10,8,Project manager,4000,1000,10 - 50 человек,> 7,> 3,> 2550,,,,,
Львов,12,8,Project manager,4000,1000,50 - 200 человек,> 7,> 3,> 2550,,,,,
Киев,5,2.5,Project manager,4100,1000,50 - 200 человек,"(3, 7]","(1.5, 3]",> 2550,,,,,
Киев,8,4,Java,4300,1000,50 - 200 человек,> 7,> 3,> 2550,,,,,
Харьков,10,4,Java,4400,2000,10 - 50 человек,> 7,> 3,> 2550,,,,,
другой,15,4,C++,4500,2000,больше 200 человек,> 7,> 3,> 2550,,,,,
Львов,8,5,Java,4500,500,больше 200 человек,> 7,> 3,> 2550,,,,,
другой,5,5,C#/.NET,4625,1625,больше 200 человек,"(3, 7]",> 3,> 2550,,,,,
Киев,12,5,Python,4700,2300,50 - 200 человек,> 7,> 3,> 2550,,,,,
Киев,0.5,0.1,Java,,300,больше 200 человек,≤ 1,≤ 0.5,,,,,,
Киев,0.5,0.1,C++,,500,больше 200 человек,≤ 1,≤ 0.5,,,,,,
другой,5,0.1,C#/.NET,,3000,50 - 200 человек,"(3, 7]",≤ 0.5,,,,,,
Киев,0.5,0.2,PHP,,300,больше 200 человек,≤ 1,≤ 0.5,,,,,,
Киев,2,0.2,PHP,,250,меньше 10 человек,"(1, 3]",≤ 0.5,,,,,,
Киев,3,0.25,Java,,500,больше 200 человек,"(1, 3]",≤ 0.5,,,,,,
Львов,2.5,0.3,Java,,300,больше 200 человек,"(1, 3]",≤ 0.5,,,,,,
Киев,3.5,0.4,C#/.NET,,1200,больше 200 человек,"(3, 7]",≤ 0.5,,,,,,
Киев,1.5,0.5,PHP,,600,больше 200 человек,"(1, 3]",≤ 0.5,,,,,,
другой,2,0.5,QA/Testing,,500,больше 200 человек,"(1, 3]",≤ 0.5,,,,,,
Харьков,3,0.5,C#/.NET,,400,10 - 50 человек,"(1, 3]",≤ 0.5,,,,,,
Львов,3.5,0.5,Embedded,,500,больше 200 человек,"(3, 7]",≤ 0.5,,,,,,
Львов,5,0.5,Embedded,,500,меньше 10 человек,"(3, 7]",≤ 0.5,,,,,,
Киев,8,0.5,Java,,200,больше 200 человек,> 7,≤ 0.5,,,,,,
Харьков,10,0.5,Java,,,больше 200 человек,> 7,≤ 0.5,,,,,,
Львов,0.8,0.8,QA/Testing,,200,больше 200 человек,≤ 1,"(0.5, 1.5]",,,,,,
Киев,4.2,0.8,QA/Testing,,500,больше 200 человек,"(3, 7]","(0.5, 1.5]",,,,,,
Киев,1,1,Java,,500,больше 200 человек,≤ 1,"(0.5, 1.5]",,,,,,
Киев,1,1,C#/.NET,,300,меньше 10 человек,≤ 1,"(0.5, 1.5]",,,,,,
Киев,1,1,C#/.NET,,300,меньше 10 человек,≤ 1,"(0.5, 1.5]",,,,,,
Киев,1,1,C#/.NET,,,меньше 10 человек,≤ 1,"(0.5, 1.5]",,,,,,
Киев,3,1,QA/Testing,,500,больше 200 человек,"(1, 3]","(0.5, 1.5]",,,,,,
другой,3,1,C#/.NET,,200,меньше 10 человек,"(1, 3]","(0.5, 1.5]",,,,,,
другой,3,1,HTML/CSS/JavaScript,,,меньше 10 человек,"(1, 3]","(0.5, 1.5]",,,,,,
другой,3,1,Python,,,меньше 10 человек,"(1, 3]","(0.5, 1.5]",,,,,,
Львов,3,1,C#/.NET,,700,меньше 10 человек,"(1, 3]","(0.5, 1.5]",,,,,,
Харьков,4,1,PHP,,600,меньше 10 человек,"(3, 7]","(0.5, 1.5]",,,,,,
Киев,4,1,Java,,300,больше 200 человек,"(3, 7]","(0.5, 1.5]",,,,,,
Киев,4,1,Java,,500,больше 200 человек,"(3, 7]","(0.5, 1.5]",,,,,,
Киев,5,1,C#/.NET,,500,больше 200 человек,"(3, 7]","(0.5, 1.5]",,,,,,
Киев,6,1,QA/Testing,,600,10 - 50 человек,"(3, 7]","(0.5, 1.5]",,,,,,
Киев,6,1,C#/.NET,,,50 - 200 человек,"(3, 7]","(0.5, 1.5]",,,,,,
Харьков,10,1,Embedded,,500,10 - 50 человек,> 7,"(0.5, 1.5]",,,,,,
Киев,10,1,Oracle,,2000,10 - 50 человек,> 7,"(0.5, 1.5]",,,,,,
Львов,3.5,1.2,C#/.NET,,500,больше 200 человек,"(3, 7]","(0.5, 1.5]",,,,,,
Львов,6,1.3,Python,,1000,больше 200 человек,"(3, 7]","(0.5, 1.5]",,,,,,
Киев,3,1.5,Objective-C,,,10 - 50 человек,"(1, 3]","(0.5, 1.5]",,,,,,
Киев,4,1.5,HTML/CSS/JavaScript,,500,меньше 10 человек,"(3, 7]","(0.5, 1.5]",,,,,,
Киев,4.5,1.5,C#/.NET,,500,больше 200 человек,"(3, 7]","(0.5, 1.5]",,,,,,
Львов,5,1.5,C#/.NET,,800,10 - 50 человек,"(3, 7]","(0.5, 1.5]",,,,,,
Львов,5,1.5,Embedded,,1000,50 - 200 человек,"(3, 7]","(0.5, 1.5]",,,,,,
Львов,12,1.5,PHP,,500,больше 200 человек,> 7,"(0.5, 1.5]",,,,,,
Киев,2,2,Objective-C,,1000,10 - 50 человек,"(1, 3]","(1.5, 3]",,,,,,
Киев,3,2,Embedded,,,50 - 200 человек,"(1, 3]","(1.5, 3]",,,,,,
Киев,3.5,2,Java,,700,50 - 200 человек,"(3, 7]","(1.5, 3]",,,,,,
другой,4,2,Java,,250,10 - 50 человек,"(3, 7]","(1.5, 3]",,,,,,
другой,4,2,C#/.NET,,300,больше 200 человек,"(3, 7]","(1.5, 3]",,,,,,
Львов,5,2,Embedded,,500,больше 200 человек,"(3, 7]","(1.5, 3]",,,,,,
Киев,5,2,Java,,700,больше 200 человек,"(3, 7]","(1.5, 3]",,,,,,
другой,7,2,Java,,,больше 200 человек,> 7,"(1.5, 3]",,,,,,
Киев,10,2,C#/.NET,,700,меньше 10 человек,> 7,"(1.5, 3]",,,,,,
Киев,14,2,C#/.NET,,500,больше 200 человек,> 7,"(1.5, 3]",,,,,,
Львов,14,2,QA/Testing,,500,больше 200 человек,> 7,"(1.5, 3]",,,,,,
Киев,10,2.5,Java,,500,50 - 200 человек,> 7,"(1.5, 3]",,,,,,
другой,3,3,C++,,200,10 - 50 человек,"(1, 3]","(1.5, 3]",,,,,,
Киев,3,3,C++,,400,больше 200 человек,"(1, 3]","(1.5, 3]",,,,,,
Киев,3,3,Oracle,,1000,10 - 50 человек,"(1, 3]","(1.5, 3]",,,,,,
другой,3,3,C#/.NET,,187.5,10 - 50 человек,"(1, 3]","(1.5, 3]",,,,,,
Харьков,4,3,Project manager,,1000,меньше 10 человек,"(3, 7]","(1.5, 3]",,,,,,
Киев,4,3,C++,,400,больше 200 человек,"(3, 7]","(1.5, 3]",,,,,,
Киев,5,3,Embedded,,600,50 - 200 человек,"(3, 7]","(1.5, 3]",,,,,,
Киев,5,3,C++,,1500,10 - 50 человек,"(3, 7]","(1.5, 3]",,,,,,
Киев,5,3,C#/.NET,,500,больше 200 человек,"(3, 7]","(1.5, 3]",,,,,,
другой,5,3,HTML/CSS/JavaScript,,1250,50 - 200 человек,"(3, 7]","(1.5, 3]",,,,,,
другой,5,3,C#/.NET,,500,10 - 50 человек,"(3, 7]","(1.5, 3]",,,,,,
Киев,7,3,C#/.NET,,500,больше 200 человек,> 7,"(1.5, 3]",,,,,,
Киев,7,3,Flex/Flash/AIR,,100,меньше 10 человек,> 7,"(1.5, 3]",,,,,,
Харьков,11,3,C#/.NET,,500,больше 200 человек,> 7,"(1.5, 3]",,,,,,
Киев,15,3,Java,,600,10 - 50 человек,> 7,"(1.5, 3]",,,,,,
Харьков,4,3.5,QA/Testing,,1000,больше 200 человек,"(3, 7]",> 3,,,,,,
Львов,4.5,3.5,QA/Testing,,500,больше 200 человек,"(3, 7]",> 3,,,,,,
Киев,10,3.5,QA/Testing,,700,больше 200 человек,> 7,> 3,,,,,,
другой,4,4,Java,,500,10 - 50 человек,"(3, 7]",> 3,,,,,,
Харьков,5,4,Ruby/Rails,,1000,50 - 200 человек,"(3, 7]",> 3,,,,,,
Киев,5,4,C#/.NET,,600,меньше 10 человек,"(3, 7]",> 3,,,,,,
Харьков,6,4,C++,,2500,50 - 200 человек,"(3, 7]",> 3,,,,,,
Харьков,8,4,C#/.NET,,500,50 - 200 человек,> 7,> 3,,,,,,
Киев,5,5,C#/.NET,,500,меньше 10 человек,"(3, 7]",> 3,,,,,,
Киев,8,5,C#/.NET,,400,больше 200 человек,> 7,> 3,,,,,,
другой,10,5,C#/.NET,,200,10 - 50 человек,> 7,> 3,,,,,,
Львов,12,5,Oracle,,550,больше 200 человек,> 7,> 3,,,,,,
другой,15,5,Project manager,,500,больше 200 человек,> 7,> 3,,,,,,
Киев,12,6,Project manager,,5000,50 - 200 человек,> 7,> 3,,,,,,
другой,12,8,Python,,,меньше 10 человек,> 7,> 3,,,,,,
другой,10,10,C#/.NET,,500,больше 200 человек,> 7,> 3,,,,,,
Львов,10,10,C++,,,больше 200 человек,> 7,> 3,,,,,,
Киев,13,10,Mobile,,500,больше 200 человек,> 7,> 3,,,,,,
Киев,11,11,Embedded,,500,больше 200 человек,> 7,> 3,,,,,,
